arm,seed,best_val_accuracy,resumed,seconds,test_accuracy,test_auc,test_sensitivity,test_specificity,test_n
control,0,0.9292929292929293,True,60.61597681045532,0.6768115942028986,0.7060948275862069,0.6137931034482759,0.7225,690
channel,0,0.9090909090909091,True,55.455076932907104,0.6347826086956522,0.6861551724137931,0.5586206896551724,0.69,690
scramble,0,0.9393939393939394,True,55.5359570980072,0.6594202898550725,0.6924224137931034,0.36551724137931035,0.8725,690
severity,0,0.8888888888888888,True,55.49026584625244,0.618840579710145,0.7075775862068966,0.7758620689655172,0.505,690
weight_dn,0,0.8888888888888888,True,55.9245879650116,0.6376811594202898,0.7500172413793104,0.7896551724137931,0.5275,690
weight_up,0,0.9191919191919192,True,55.71959590911865,0.6608695652173913,0.7367586206896551,0.27586206896551724,0.94,690
control,1,0.8484848484848485,True,55.889556884765625,0.672463768115942,0.7067155172413793,0.5137931034482759,0.7875,690
channel,1,0.8181818181818182,True,56.12029528617859,0.618840579710145,0.6237758620689655,0.16551724137931034,0.9475,690
scramble,1,0.8282828282828283,True,56.797141313552856,0.5927536231884057,0.6746637931034483,0.034482758620689655,0.9975,690
severity,1,0.8282828282828283,True,56.055765867233276,0.6072463768115942,0.6598103448275862,0.1103448275862069,0.9675,690
weight_dn,1,0.8585858585858586,True,57.0184600353241,0.6579710144927536,0.6588534482758621,0.35517241379310344,0.8775,690
weight_up,1,0.8282828282828283,True,57.395389795303345,0.6521739130434783,0.6805689655172413,0.33448275862068966,0.8825,690
control,2,0.8888888888888888,True,56.32180404663086,0.6420289855072464,0.665301724137931,0.5482758620689655,0.71,690
channel,2,0.898989898989899,True,56.82541012763977,0.6275362318840579,0.6497241379310345,0.2482758620689655,0.9025,690
scramble,2,0.898989898989899,True,57.16577196121216,0.6565217391304348,0.7152155172413793,0.2689655172413793,0.9375,690
severity,2,0.9191919191919192,True,56.49814486503601,0.6855072463768116,0.7340172413793103,0.4689655172413793,0.8425,690
weight_dn,2,0.9191919191919192,False,430.9420578479767,0.5376811594202898,0.6738706896551724,0.8310344827586207,0.325,690
weight_up,2,0.898989898989899,False,432.78841495513916,0.6884057971014492,0.7225,0.6206896551724138,0.7375,690
