arm,metric,reference,n_seeds,mean,sd,delta_vs_reference,delta_lo,delta_hi,separates
control,test_accuracy,control,3,0.663768115942029,0.018951734537133356,0.0,0.0,0.0,False
channel,test_accuracy,control,3,0.6270531400966184,0.00798198630041463,-0.03671497584541065,-0.05362318840579705,-0.01449275362318847,True
scramble,test_accuracy,control,3,0.6362318840579709,0.03768115942028989,-0.027536231884057998,-0.07971014492753625,0.01449275362318836,False
severity,test_accuracy,control,3,0.6371980676328503,0.04223670143844327,-0.02657004830917875,-0.06521739130434778,0.04347826086956519,False
weight_dn,test_accuracy,control,3,0.6111111111111112,0.06439633459058562,-0.05265700483091792,-0.10434782608695659,-0.01449275362318836,True
weight_up,test_accuracy,control,3,0.6671497584541063,0.018914755507682963,0.0033816425120772506,-0.020289855072463725,0.046376811594202816,False
channel,test_accuracy,scramble,3,0.6270531400966184,0.00798198630041463,-0.009178743961352653,-0.02898550724637683,0.026086956521739202,False
severity,test_accuracy,scramble,3,0.6371980676328503,0.04223670143844327,0.0009661835748792461,-0.04057971014492756,0.02898550724637683,False
control,test_auc,control,3,0.6927040229885058,0.023733116117235144,0.0,0.0,0.0,False
channel,test_auc,control,3,0.6532183908045978,0.0313361124285126,-0.03948563218390803,-0.08293965517241375,-0.015577586206896532,True
scramble,test_auc,control,3,0.6941005747126437,0.020327881116673704,0.0013965517241379584,-0.032051724137931004,0.049913793103448345,False
severity,test_auc,control,3,0.7004683908045978,0.03761078792594785,0.007764367816091984,-0.046905172413793106,0.06871551724137936,False
weight_dn,test_auc,control,3,0.6942471264367817,0.048878509338852266,0.0015431034482759065,-0.047862068965517146,0.043922413793103465,False
weight_up,test_auc,control,3,0.7132758620689655,0.029208438464367707,0.020571839080459786,-0.026146551724137934,0.05719827586206905,False
channel,test_auc,scramble,3,0.6532183908045978,0.0313361124285126,-0.04088218390804599,-0.06549137931034488,-0.00626724137931034,True
severity,test_auc,scramble,3,0.7004683908045978,0.03761078792594785,0.006367816091954026,-0.014853448275862102,0.01880172413793102,False
control,test_sensitivity,control,3,0.5586206896551724,0.050796275388469765,0.0,0.0,0.0,False
channel,test_sensitivity,control,3,0.32413793103448274,0.20724109243195477,-0.23448275862068968,-0.3482758620689656,-0.05517241379310345,True
scramble,test_sensitivity,control,3,0.2229885057471264,0.17023915937079193,-0.33563218390804606,-0.4793103448275862,-0.24827586206896557,True
severity,test_sensitivity,control,3,0.45172413793103444,0.3330934531234053,-0.10689655172413794,-0.403448275862069,0.16206896551724137,False
weight_dn,test_sensitivity,control,3,0.6586206896551724,0.26360710142919164,0.09999999999999998,-0.1586206896551725,0.2827586206896552,False
weight_up,test_sensitivity,control,3,0.4103448275862069,0.1845069271954724,-0.14827586206896556,-0.3379310344827587,0.07241379310344831,False
channel,test_sensitivity,scramble,3,0.32413793103448274,0.20724109243195477,0.10114942528735633,-0.02068965517241378,0.19310344827586212,False
severity,test_sensitivity,scramble,3,0.45172413793103444,0.3330934531234053,0.2287356321839081,0.0758620689655173,0.41034482758620694,True
