n_cases,n_readers,icc_single,signal_r,power,type_i_at_null,auc_ceiling_single_reader,auc_ceiling_majority_vote,consensus_reliability,min_detectable_auc
60,1,0.4,0.3,0.1725,0.0425,0.8078905092592592,0.8078905092592592,0.4,0.7278103906923011
60,1,0.4,0.45,0.3225,0.0425,0.8078905092592592,0.8078905092592592,0.4,0.7278103906923011
60,1,0.4,0.6,0.5625,0.0425,0.8078905092592592,0.8078905092592592,0.4,0.7278103906923011
120,1,0.4,0.3,0.32,0.03,0.8078905092592592,0.8078905092592592,0.4,0.6681616180274031
120,1,0.4,0.45,0.62,0.03,0.8078905092592592,0.8078905092592592,0.4,0.6681616180274031
120,1,0.4,0.6,0.855,0.03,0.8078905092592592,0.8078905092592592,0.4,0.6681616180274031
240,1,0.4,0.3,0.5975,0.0275,0.8078905092592592,0.8078905092592592,0.4,0.6211317249370749
240,1,0.4,0.45,0.9375,0.0275,0.8078905092592592,0.8078905092592592,0.4,0.6211317249370749
240,1,0.4,0.6,0.9925,0.0275,0.8078905092592592,0.8078905092592592,0.4,0.6211317249370749
60,3,0.4,0.3,0.245,0.0275,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.7278103906923011
60,3,0.4,0.45,0.4425,0.0275,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.7278103906923011
60,3,0.4,0.6,0.7475,0.0275,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.7278103906923011
120,3,0.4,0.3,0.4475,0.0325,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.6681616180274031
120,3,0.4,0.45,0.7825,0.0325,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.6681616180274031
120,3,0.4,0.6,0.9725,0.0325,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.6681616180274031
240,3,0.4,0.3,0.73,0.0275,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.6211317249370749
240,3,0.4,0.45,0.9725,0.0275,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.6211317249370749
240,3,0.4,0.6,1.0,0.0275,0.8084497685185186,0.8845533998803842,0.6666666666666667,0.6211317249370749
60,1,0.5,0.3,0.2,0.05,0.8460099537037037,0.8460099537037037,0.5,0.7278103906923011
60,1,0.5,0.45,0.41,0.05,0.8460099537037037,0.8460099537037037,0.5,0.7278103906923011
60,1,0.5,0.6,0.695,0.05,0.8460099537037037,0.8460099537037037,0.5,0.7278103906923011
120,1,0.5,0.3,0.3875,0.0375,0.8460099537037037,0.8460099537037037,0.5,0.6681616180274031
120,1,0.5,0.45,0.7275,0.0375,0.8460099537037037,0.8460099537037037,0.5,0.6681616180274031
120,1,0.5,0.6,0.9275,0.0375,0.8460099537037037,0.8460099537037037,0.5,0.6681616180274031
240,1,0.5,0.3,0.6975,0.0375,0.8460099537037037,0.8460099537037037,0.5,0.6211317249370749
240,1,0.5,0.45,0.96,0.0375,0.8460099537037037,0.8460099537037037,0.5,0.6211317249370749
240,1,0.5,0.6,1.0,0.0375,0.8460099537037037,0.8460099537037037,0.5,0.6211317249370749
60,3,0.5,0.3,0.27,0.0325,0.8463224537037037,0.9128907567305663,0.75,0.7278103906923011
60,3,0.5,0.45,0.5225,0.0325,0.8463224537037037,0.9128907567305663,0.75,0.7278103906923011
60,3,0.5,0.6,0.835,0.0325,0.8463224537037037,0.9128907567305663,0.75,0.7278103906923011
120,3,0.5,0.3,0.5175,0.0325,0.8463224537037037,0.9128907567305663,0.75,0.6681616180274031
120,3,0.5,0.45,0.8525,0.0325,0.8463224537037037,0.9128907567305663,0.75,0.6681616180274031
120,3,0.5,0.6,0.9875,0.0325,0.8463224537037037,0.9128907567305663,0.75,0.6681616180274031
240,3,0.5,0.3,0.7775,0.03,0.8463224537037037,0.9128907567305663,0.75,0.6211317249370749
240,3,0.5,0.45,0.9825,0.03,0.8463224537037037,0.9128907567305663,0.75,0.6211317249370749
240,3,0.5,0.6,1.0,0.03,0.8463224537037037,0.9128907567305663,0.75,0.6211317249370749
60,1,0.6,0.3,0.2325,0.03,0.8802002314814814,0.8802002314814814,0.6,0.7278103906923011
